"Order details","Order status","Order date","Product","Shipping","Sales channel"
"112-5773335-1496224 (159284985795321)","Payment Complete","5/6/2026, 2:28:35 AM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"114-3399748-7359430 (159243071087881)","Payment Complete","5/5/2026, 1:38:26 PM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"114-9864672-7481864 (159165883647561)","Payment Complete","5/4/2026, 4:56:22 AM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
"112-3355652-1266654 (159147426925361)","Payment Complete","5/4/2026, 12:23:18 AM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"112-4307678-1594635 (159033310013681)","Payment Complete","5/2/2026, 5:14:29 AM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"113-7241616-8413010 (159068505491561)","Payment Complete","5/2/2026, 6:57:24 PM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"111-4032385-0019420 (158953473566521)","Payment Complete","5/1/2026, 5:03:06 PM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"114-6235948-9415468 (159007591043001)","Payment Complete","5/1/2026, 5:43:05 AM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Standard ","Ship"
"114-6544808-0369823 (158758767164281)","Payment Complete","4/29/2026, 3:57:16 AM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
"111-6646349-2077846 (158902578390081)","Payment Complete","4/29/2026, 11:17:40 PM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"112-5010153-6121018 (158696579693041)","Payment Complete","4/28/2026, 12:03:27 AM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"111-4346130-9757854 (158597899703561)","Payment Complete","4/26/2026, 1:04:42 PM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
"112-7079830-8982655 (158538355411001)","Payment Complete","4/25/2026, 8:22:24 AM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"111-4909029-1986653 (158490686086041)","Payment Complete","4/24/2026, 6:08:47 PM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"112-9872267-8414640 (158508161008761)","Payment Complete","4/24/2026, 9:27:19 PM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"113-5773364-3987431 (158426108529601)","Payment Complete","4/23/2026, 4:58:07 PM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
"111-6458930-6481837 (158409678512121)","Payment Complete","4/23/2026, 12:44:17 PM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"113-2003158-4461010 (158301590369681)","Payment Complete","4/22/2026, 11:15:26 AM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
"114-7616418-0453063 (158326204504961)","Payment Complete","4/22/2026, 10:25:55 PM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"111-0360959-5783438 (158259260824401)","Payment Complete","4/21/2026, 9:26:43 PM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
"111-4597765-5593044 (158222544509361)","Payment Complete","4/21/2026, 4:57:04 AM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"113-4985995-7322625 (158248394677401)","Payment Complete","4/21/2026, 5:41:54 PM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"114-1865307-7943407 (158149604612001)","Payment Complete","4/20/2026, 1:56:06 AM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"114-6868263-4244264 (158124945133241)","Payment Complete","4/19/2026, 6:14:38 PM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
"111-5244353-1377061 (158092068175681)","Payment Complete","4/19/2026, 4:22:08 AM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"112-8553244-4135414 (158119821078921)","Payment Complete","4/19/2026, 5:13:32 PM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"113-7791673-8099419 (158119782134121)","Payment Complete","4/19/2026, 5:25:48 PM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"111-3697904-7181063 (158064592230961)","Payment Complete","4/18/2026, 5:46:07 PM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"113-2943058-8061817 (158068980589961)","Payment Complete","4/18/2026, 8:40:04 PM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Standard ","Ship"
"111-1283285-0322621 (157806051111521)","Payment Complete","4/14/2026, 4:00:32 AM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
"114-9451011-0462627 (157720405642161)","Payment Complete","4/12/2026, 10:30:13 PM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
